address,c_b_no,Borough,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
100 FLATBUSH AVENUE,302,BROOKLYN,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
100 RICHARDSON STREET,301,BROOKLYN,40.718641,-73.948144,0.9,range_interpolation,100,Richardson St,,,Brooklyn,NY,Kings County,11211,US,TIGER/Line® dataset from the US Census Bureau
100 SCHOLES STREET,301,BROOKLYN,40.708401,-73.946082,0.9,range_interpolation,100,Scholes St,,,Brooklyn,NY,Kings County,11206,US,TIGER/Line® dataset from the US Census Bureau
100 SUYDAM STREET,304,BROOKLYN,40.697953,-73.928811,0.9,rooftop,100,Suydam St,,,Brooklyn,NY,Kings County,11221,US,City of New York
100-15 NORTHERN BOULEVARD,403,QUEENS,40.757442,-73.867463,0.8,range_interpolation,100,Northern Blvd,,,Corona,NY,Queens County,11368,US,TIGER/Line® dataset from the US Census Bureau
100-15 NORTHERN BOULEVARD,403,QUEENS,40.757442,-73.867463,0.8,range_interpolation,100,Northern Blvd,,,Corona,NY,Queens County,11368,US,TIGER/Line® dataset from the US Census Bureau
100-49 205 PLACE,412,QUEENS,40.710156,-73.753378,0.8,range_interpolation,100,205th Pl,,,Hollis,NY,Queens County,11423,US,TIGER/Line® dataset from the US Census Bureau
1000 PACIFIC STREET,308,BROOKLYN,40.679205,-73.960449,0.9,range_interpolation,1000,Pacific St,,,Brooklyn,NY,Kings County,11238,US,TIGER/Line® dataset from the US Census Bureau
1000 WESTCHESTER AVENUE,202,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1001 GUN HILL ROAD,212,BRONX,40.874562,-73.858079,0.8,range_interpolation,1001,E Gun Hill Rd,,,Bronx,NY,Bronx County,10469,US,TIGER/Line® dataset from the US Census Bureau
1001 UNION AVENUE,203,BRONX,40.824006,-73.901651,0.9,range_interpolation,1001,Union Ave,,,Bronx,NY,Bronx County,10459,US,TIGER/Line® dataset from the US Census Bureau
1001 WHITLOCK AVENUE,NA,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1005 LORIMER STREET,301,BROOKLYN,40.725757,-73.953022,0.9,range_interpolation,1005,Lorimer St,,,Brooklyn,NY,Kings County,11222,US,TIGER/Line® dataset from the US Census Bureau
1007 UNION AVENUE,203,BRONX,40.824148,-73.901606,0.9,range_interpolation,1007,Union Ave,,,Bronx,NY,Bronx County,10459,US,TIGER/Line® dataset from the US Census Bureau
1008 BANNER AVENUE,315,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
101 BOGART STREET,301,BROOKLYN,40.707219,-73.93398,0.9,range_interpolation,101,Bogart St,,,Brooklyn,NY,Kings County,11206,US,TIGER/Line® dataset from the US Census Bureau
101 EAST 144 STREET,201,BRONX,40.820016,-73.93705,0.9,rooftop,101,W 144th St,,,New York,NY,New York County,10030,US,City of New York
101 EAST 150 STREET,204,BRONX,40.825049,-73.937086,0.7,nearest_rooftop_match,201,W 150th St,,,New York,NY,New York County,10039,US,City of New York
101 FLEET PLACE,302,BROOKLYN,40.692481,-73.981621,0.9,range_interpolation,101,Fleet Pl,,,Brooklyn,NY,Kings County,11201,US,TIGER/Line® dataset from the US Census Bureau
101 LOTT AVENUE,NA,BROOKLYN,40.725492,-73.98375,0.79,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
101 ORIENTAL BOULEVARD,NA,BROOKLYN,40.576735,-73.952845,0.9,range_interpolation,101,Oriental Blvd,,,Brooklyn,NY,Kings County,11235,US,TIGER/Line® dataset from the US Census Bureau
101 SOUTH    2 STREET,301,BROOKLYN,40.723655,-73.98759,0.9,rooftop,101,E 2nd St,,,New York,NY,New York County,10009,US,City of New York
101-07 91 STREET,409,QUEENS,40.784501,-73.957336,0.8,nearest_rooftop_match,7,E 91st St,,,New York,NY,New York County,10128,US,City of New York
101-12 MARTENSE AVENUE,404,QUEENS,40.725492,-73.98375,0.79,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
101-41 132 STREET,409,QUEENS,40.812422,-73.942566,0.8,nearest_rooftop_match,101,W 132nd St,,,New York,NY,New York County,10027,US,City of New York
1010 BUSHWICK AVENUE,304,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1010 BUSHWICK AVENUE,304,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1010 BUSHWICK AVENUE,304,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1010 PACIFIC STREET,308,BROOKLYN,40.67921,-73.959857,0.9,rooftop,1010,Pacific St,,,Brooklyn,NY,Kings County,11238,US,City of New York
1010 PARK AVENUE,108,MANHATTAN,40.779361,-73.958114,1,rooftop,1010,Park Ave,,,New York,NY,New York County,10028,US,City of New York
1010 WASHINGTON AVENUE,203,BRONX,40.826359,-73.909544,0.9,range_interpolation,1010,Washington Ave,,,Bronx,NY,Bronx County,10456,US,TIGER/Line® dataset from the US Census Bureau
1011 UNION AVENUE,203,BRONX,40.824243,-73.901576,0.9,range_interpolation,1011,Union Ave,,,Bronx,NY,Bronx County,10459,US,TIGER/Line® dataset from the US Census Bureau
1014 OGDEN AVENUE,204,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1015 ATLANTIC AVENUE,302,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1015 EAST GUN HILL ROAD,212,BRONX,40.874507,-73.857949,0.9,range_interpolation,1015,E Gun Hill Rd,,,Bronx,NY,Bronx County,10469,US,TIGER/Line® dataset from the US Census Bureau
1015 EAST GUN HILL ROAD,212,BRONX,40.874507,-73.857949,0.9,range_interpolation,1015,E Gun Hill Rd,,,Bronx,NY,Bronx County,10469,US,TIGER/Line® dataset from the US Census Bureau
1017 EAST GUN HILL ROAD,212,BRONX,40.874499,-73.85793,0.9,range_interpolation,1017,E Gun Hill Rd,,,Bronx,NY,Bronx County,10469,US,TIGER/Line® dataset from the US Census Bureau
1017 OLMSTEAD AVENUE,NA,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
102 CHAMBERS STREET,101,MANHATTAN,40.714756,-74.007834,1,rooftop,102,Chambers St,,,New York,NY,New York County,10007,US,City of New York
102 FLATBUSH AVENUE,302,BROOKLYN,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
102 NORTH    1 STREET,301,BROOKLYN,40.723097,-73.987817,0.9,range_interpolation,102,E 1st St,,,New York,NY,New York County,10009,US,TIGER/Line® dataset from the US Census Bureau
102 SOMERS STREET,316,BROOKLYN,40.679051,-73.907648,0.9,rooftop,102,Somers St,,,Brooklyn,NY,Kings County,11233,US,City of New York
102 VANDERBILT STREET,307,BROOKLYN,40.651468,-73.981024,0.9,range_interpolation,102,Vanderbilt St,,,Brooklyn,NY,Kings County,11218,US,TIGER/Line® dataset from the US Census Bureau
102 WEST   14 STREET,102,MANHATTAN,40.737253,-73.996956,1,range_interpolation,102,W 14th St,,,New York,NY,New York County,10011,US,TIGER/Line® dataset from the US Census Bureau
102-05 ROOSEVELT AVENUE,403,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
1020 ROGERS AVENUE,317,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1022 3 AVENUE,108,MANHATTAN,40.76269,-73.965862,1,range_interpolation,1022,3rd Ave,,,New York,NY,New York County,10065,US,TIGER/Line® dataset from the US Census Bureau
1022 3 AVENUE,108,MANHATTAN,40.76269,-73.965862,1,range_interpolation,1022,3rd Ave,,,New York,NY,New York County,10065,US,TIGER/Line® dataset from the US Census Bureau
1023 SUMMIT AVENUE,204,BRONX,40.833867,-73.930087,0.9,range_interpolation,1023,Summit Ave,,,Bronx,NY,Bronx County,10452,US,TIGER/Line® dataset from the US Census Bureau
1024 MANHATTAN AVENUE,301,BROOKLYN,40.733979,-73.955039,0.9,nearest_rooftop_match,1025,Manhattan Ave,,,Brooklyn,NY,Kings County,11222,US,City of New York
1024 MANHATTAN AVENUE,301,BROOKLYN,40.733979,-73.955039,0.9,nearest_rooftop_match,1025,Manhattan Ave,,,Brooklyn,NY,Kings County,11222,US,City of New York
1026 3 AVENUE,108,MANHATTAN,40.762789,-73.965897,1,range_interpolation,1026,3rd Ave,,,New York,NY,New York County,10065,US,TIGER/Line® dataset from the US Census Bureau
1026 3 AVENUE,108,MANHATTAN,40.762789,-73.965897,1,range_interpolation,1026,3rd Ave,,,New York,NY,New York County,10065,US,TIGER/Line® dataset from the US Census Bureau
1026 MANHATTAN AVENUE,301,BROOKLYN,40.733979,-73.955039,0.9,nearest_rooftop_match,1025,Manhattan Ave,,,Brooklyn,NY,Kings County,11222,US,City of New York
103 EAST 29 STREET,105,MANHATTAN,40.744024,-73.98346,1,range_interpolation,103,E 29th St,,,New York,NY,New York County,10016,US,TIGER/Line® dataset from the US Census Bureau
103 EAST 29 STREET,105,MANHATTAN,40.744024,-73.98346,1,range_interpolation,103,E 29th St,,,New York,NY,New York County,10016,US,TIGER/Line® dataset from the US Census Bureau
103 EAST 29 STREET,105,MANHATTAN,40.744024,-73.98346,1,range_interpolation,103,E 29th St,,,New York,NY,New York County,10016,US,TIGER/Line® dataset from the US Census Bureau
103 KING STREET,306,BROOKLYN,40.728209,-74.007272,1,range_interpolation,103,King St,,,New York,NY,New York County,10014,US,TIGER/Line® dataset from the US Census Bureau
103 LEE AVENUE,301,BROOKLYN,40.725492,-73.98375,0.79,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
103 SCHENECTADY AVENUE,308,BROOKLYN,40.725492,-73.98375,0.79,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
103-08 NORTHERN BOULEVARD,403,QUEENS,40.757694,-73.86462,0.8,range_interpolation,103,Northern Blvd,,,Corona,NY,Queens County,11368,US,TIGER/Line® dataset from the US Census Bureau
103-10 NORTHERN BOULEVARD,403,QUEENS,40.757694,-73.86462,0.8,range_interpolation,103,Northern Blvd,,,Corona,NY,Queens County,11368,US,TIGER/Line® dataset from the US Census Bureau
103-12 NORTHERN BOULEVARD,403,QUEENS,40.757694,-73.86462,0.8,range_interpolation,103,Northern Blvd,,,Corona,NY,Queens County,11368,US,TIGER/Line® dataset from the US Census Bureau
103-14 NORTHERN BOULEVARD,403,QUEENS,40.757694,-73.86462,0.8,range_interpolation,103,Northern Blvd,,,Corona,NY,Queens County,11368,US,TIGER/Line® dataset from the US Census Bureau
103-41 120 STREET,410,QUEENS,40.804934,-73.948385,0.8,nearest_rooftop_match,103,W 120th St,,,New York,NY,New York County,10027,US,City of New York
1030 MANHATTAN AVENUE,301,BROOKLYN,40.73405,-73.95505,0.9,nearest_rooftop_match,1029,Manhattan Ave,,,Brooklyn,NY,Kings County,11222,US,City of New York
1030 REVEREND JAMES A POLITE AVENUE,202,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1030 SOUTHERN BOULEVARD,202,BRONX,40.823905,-73.891696,0.9,range_interpolation,1030,Southern Blvd,,,Bronx,NY,Bronx County,10459,US,TIGER/Line® dataset from the US Census Bureau
1031 GRAND STREET,301,BROOKLYN,40.713718,-73.933967,0.9,rooftop,1031,Grand St,,,Brooklyn,NY,Kings County,11211,US,City of New York
1032 MANHATTAN AVENUE,301,BROOKLYN,40.73412,-73.955061,0.9,nearest_rooftop_match,1031,Manhattan Ave,,,Brooklyn,NY,Kings County,11222,US,City of New York
1034 ATLANTIC AVENUE,308,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1034 KELLY STREET,202,BRONX,40.824268,-73.895694,0.9,range_interpolation,1034,Kelly St,,,Bronx,NY,Bronx County,10459,US,TIGER/Line® dataset from the US Census Bureau
1036 MANHATTAN AVENUE,301,BROOKLYN,40.734188,-73.955072,0.9,nearest_rooftop_match,1035,Manhattan Ave,,,Brooklyn,NY,Kings County,11222,US,City of New York
1036 OCEAN PARKWAY,312,BROOKLYN,40.623207,-73.970825,0.9,rooftop,1036,Ocean Pkwy,,,Brooklyn,NY,Kings County,11230,US,City of New York
1036 PROSPECT AVENUE,202,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1038 BROADWAY,303,BROOKLYN,40.741062,-73.98917,1,range_interpolation,1038,Broadway,,,New York,NY,New York County,10010,US,TIGER/Line® dataset from the US Census Bureau
1038 MANHATTAN AVENUE,301,BROOKLYN,40.734255,-73.955083,0.9,nearest_rooftop_match,1037,Manhattan Ave,,,Brooklyn,NY,Kings County,11222,US,City of New York
104 DEKALB AVENUE,302,BROOKLYN,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
104 FROST STREET,301,BROOKLYN,40.717705,-73.947281,0.9,range_interpolation,104,Frost St,,,Brooklyn,NY,Kings County,11211,US,TIGER/Line® dataset from the US Census Bureau
104 FROST STREET,301,BROOKLYN,40.717705,-73.947281,0.9,range_interpolation,104,Frost St,,,Brooklyn,NY,Kings County,11211,US,TIGER/Line® dataset from the US Census Bureau
104 WEST   14 STREET,102,MANHATTAN,40.737277,-73.997,1,range_interpolation,104,W 14th St,,,New York,NY,New York County,10011,US,TIGER/Line® dataset from the US Census Bureau
104-12 LEFFERTS BOULEVARD,410,QUEENS,40.684382,-73.823261,0.8,range_interpolation,104,Lefferts Blvd,,,South Richmond Hill,NY,Queens County,11419,US,TIGER/Line® dataset from the US Census Bureau
104-18 ROOSEVELT AVENUE,404,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
104-19 ROOSEVELT AVENUE,403,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
104-19 ROOSEVELT AVENUE,403,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
104-20 125 STREET,410,QUEENS,40.805848,-73.941335,0.8,nearest_rooftop_match,20,E 125th St,,,New York,NY,New York County,10035,US,City of New York
104-72 ROOSEVELT AVENUE,404,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
1041 FLUSHING AVENUE,301,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1042 ATLANTIC AVENUE,308,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1042 ATLANTIC AVENUE,308,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1047 OGDEN AVENUE,204,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1047 OGDEN AVENUE,204,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1048 FLUSHING AVENUE,304,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
105 ROGERS AVENUE,308,BROOKLYN,40.725492,-73.98375,0.79,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
105 ROGERS AVENUE,308,BROOKLYN,40.725492,-73.98375,0.79,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
1051 WHITLOCK AVENUE,202,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1051 WHITLOCK AVENUE,202,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1052 WILLOUGHBY AVENUE,304,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1054 41 STREET,NA,BROOKLYN,40.749577,-73.973474,0.6,street_center,,E 41st St,,,New York,NY,New York County,10017,US,TIGER/Line® dataset from the US Census Bureau
1057 ATLANTIC AVENUE,303,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
106 GARDNER AVENUE,301,BROOKLYN,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
106 NORTH    1 STREET,301,BROOKLYN,40.723049,-73.98773,0.9,range_interpolation,106,E 1st St,,,New York,NY,New York County,10009,US,TIGER/Line® dataset from the US Census Bureau
106-02 ROCKAWAY BEACH BOULEVARD,NA,QUEENS,40.67841,-73.83292,0.9,rooftop,106-2,Rockaway Blvd,,,Ozone Park,NY,Queens County,11417,US,City of New York
106-06 ASTORIA BOULEVARD,403,QUEENS,40.729849,-73.991425,0.9,range_interpolation,106,Astor Pl,,,New York,NY,New York County,10003,US,TIGER/Line® dataset from the US Census Bureau
106-25 GUY R BREWER BOULEVARD,412,QUEENS,40.699109,-73.792892,0.9,rooftop,106-25,Guy R Brewer Blvd,,,Jamaica,NY,Queens County,11433,US,City of New York
106-29 GUY R BREWER BOULEVARD,412,QUEENS,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
106-35 150 STREET,412,QUEENS,40.825049,-73.937086,0.61,nearest_rooftop_match,201,W 150th St,,,New York,NY,New York County,10039,US,City of New York
106-35 150 STREET,412,QUEENS,40.825049,-73.937086,0.61,nearest_rooftop_match,201,W 150th St,,,New York,NY,New York County,10039,US,City of New York
1060 PRESIDENT STREET,309,BROOKLYN,40.668236,-73.956677,0.9,range_interpolation,1060,President St,,,Brooklyn,NY,Kings County,11225,US,TIGER/Line® dataset from the US Census Bureau
1061 ATLANTIC AVENUE,303,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1063 FULTON STREET,302,BROOKLYN,40.681547,-73.95828,0.9,nearest_rooftop_match,1064,Fulton St,,,Brooklyn,NY,Kings County,11238,US,City of New York
1066 JEFFERSON AVENUE,304,BROOKLYN,40.687839,-73.916448,0.9,rooftop,1066,Jefferson Ave,,,Brooklyn,NY,Kings County,11221,US,City of New York
1068 FULTON STREET,303,BROOKLYN,40.6815,-73.958152,0.9,rooftop,1068,Fulton St,,,Brooklyn,NY,Kings County,11238,US,City of New York
107 SCHAEFER STREET,304,BROOKLYN,40.687457,-73.909849,0.9,nearest_rooftop_match,106,Schaefer St,,,Brooklyn,NY,Kings County,11207,US,City of New York
107 SOUTH    3 STREET,301,BROOKLYN,40.730417,-73.999642,0.9,range_interpolation,107,W 3rd St,,,New York,NY,New York County,10012,US,TIGER/Line® dataset from the US Census Bureau
107 WILLOUGHBY STREET,302,BROOKLYN,40.692287,-73.984876,0.9,range_interpolation,107,Willoughby St,,,Brooklyn,NY,Kings County,11201,US,TIGER/Line® dataset from the US Census Bureau
107-01 PARK LANE SOUTH,NA,QUEENS,40.713256,-74.009254,0.9,range_interpolation,107,Park Pl,,,New York,NY,New York County,10007,US,TIGER/Line® dataset from the US Census Bureau
108 SAINT EDWARDS STREET,302,BROOKLYN,40.693635,-73.978007,0.9,nearest_rooftop_match,112,St Edwards St,,,Brooklyn,NY,Kings County,11205,US,City of New York
108 SAINT EDWARDS STREET,302,BROOKLYN,40.693635,-73.978007,0.9,nearest_rooftop_match,112,St Edwards St,,,Brooklyn,NY,Kings County,11205,US,City of New York
108 WEST 123 STREET,110,MANHATTAN,40.806661,-73.947216,1,rooftop,108,W 123rd St,,,New York,NY,New York County,10027,US,City of New York
108-15 72 AVENUE,406,QUEENS,40.772169,-73.965946,0.8,nearest_rooftop_match,15,E 72nd St,,,New York,NY,New York County,10021,US,City of New York
108-15 72 AVENUE,406,QUEENS,40.772169,-73.965946,0.8,nearest_rooftop_match,15,E 72nd St,,,New York,NY,New York County,10021,US,City of New York
108-50 ROOSEVELT AVENUE,404,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
108-50 ROOSEVELT AVENUE,404,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
108-56 ROOSEVELT AVENUE,404,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
1080 WASHINGTON AVENUE,203,BRONX,40.663526,-73.960877,0.9,range_interpolation,1080,Washington Ave,,,Brooklyn,NY,Kings County,11225,US,TIGER/Line® dataset from the US Census Bureau
1080 WASHINGTON AVENUE,203,BRONX,40.663526,-73.960877,0.9,range_interpolation,1080,Washington Ave,,,Brooklyn,NY,Kings County,11225,US,TIGER/Line® dataset from the US Census Bureau
1081 AMSTERDAM AVENUE,109,MANHATTAN,40.804735,-73.962475,1,range_interpolation,1081,Amsterdam Ave,,,New York,NY,New York County,10025,US,TIGER/Line® dataset from the US Census Bureau
1081 AMSTERDAM AVENUE,109,MANHATTAN,40.804735,-73.962475,1,range_interpolation,1081,Amsterdam Ave,,,New York,NY,New York County,10025,US,TIGER/Line® dataset from the US Census Bureau
1081 ANDERSON AVENUE,204,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1081 TIFFANY STREET,202,BRONX,40.825575,-73.894668,0.9,range_interpolation,1081,Tiffany St,,,Bronx,NY,Bronx County,10459,US,TIGER/Line® dataset from the US Census Bureau
1084 OGDEN AVENUE,204,BRONX,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
1084 ROGERS AVENUE,317,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,New York,NY,New York County,10001,US,TIGER/Line® dataset from the US Census Bureau
109 MONTGOMERY STREET,309,BROOKLYN,40.711469,-73.984581,0.87,nearest_rooftop_match,75,Montgomery St,,,New York,NY,New York County,10002,US,City of New York
109 PORT RICHMOND AVENUE,501,STATEN ISLAND,40.725492,-73.98375,0.78,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
109 WILLOUGHBY STREET,302,BROOKLYN,40.692283,-73.984797,0.9,range_interpolation,109,Willoughby St,,,Brooklyn,NY,Kings County,11201,US,TIGER/Line® dataset from the US Census Bureau
1091 AMSTERDAM AVENUE,109,MANHATTAN,40.804924,-73.962174,1,rooftop,1091,Amsterdam Ave,,,New York,NY,New York County,10025,US,City of New York
1091 AMSTERDAM AVENUE,109,MANHATTAN,40.804924,-73.962174,1,rooftop,1091,Amsterdam Ave,,,New York,NY,New York County,10025,US,City of New York
1091 AMSTERDAM AVENUE,NA,MANHATTAN,40.804924,-73.962174,1,rooftop,1091,Amsterdam Ave,,,New York,NY,New York County,10025,US,City of New York
1091 AMSTERDAM AVENUE,109,MANHATTAN,40.804924,-73.962174,1,rooftop,1091,Amsterdam Ave,,,New York,NY,New York County,10025,US,City of New York
1095 SOUTHERN BOULEVARD,202,BRONX,40.825967,-73.892072,0.9,range_interpolation,1095,Southern Blvd,,,Bronx,NY,Bronx County,10459,US,TIGER/Line® dataset from the US Census Bureau
