"job__","issued_date","expired_date","address","Borough","LOT","Bin","Block","c_b_no","LATITUDE","LONGITUDE","CENSUS_TRACT","geometry","name"
"Q00589518-I1",2021-09-09 12:00:00,2022-09-09 04:00:00,"25-21 BROADWAY","QUEENS",5,4624439,579,401,0,0,0,list(),NA
"S00531709-I1",2021-07-12 12:00:00,2022-07-12 04:00:00,"2111 RICHMOND TERRACE","STATEN ISLAND",72,5107019,1068,501,0,0,0,list(),NA
"X00788002-I1",2023-08-07 12:00:00,2024-08-07 04:00:00,"1600 GRAND AVENUE","BRONX",160,2130750,2865,205,0,0,0,list(),NA
"X08023666-I1",2022-10-19 12:00:00,2023-06-27 04:00:00,"2428 BRONX PARK EAST","BRONX",17,2051217,4424,211,0,0,0,list(),NA
"B00788711-I1",2022-08-08 12:00:00,2023-08-08 04:00:00,"335 RALPH AVENUE","BROOKLYN",3,3825226,1556,303,0,0,0,list(),NA
"Q00451570-I1",2021-01-12 12:00:00,2022-01-12 05:00:00,"5-01 47 ROAD","QUEENS",21,4000071,29,402,0,0,0,list(),NA
"B00849924-I1",2024-04-19 12:00:00,2024-08-10 12:00:00,"71 GATEWAY DRIVE","BROOKLYN",237,3859665,4452,305,0,0,0,list(),NA
"M00705456-I1",2022-04-01 12:00:00,2023-04-01 04:00:00,"2 WEST   47 STREET","MANHATTAN",42,1034339,1262,105,0,0,0,list(),NA
"Q00445704-I1",2021-02-16 12:00:00,2022-02-16 05:00:00,"31-29 CRESCENT STREET","QUEENS",40,4623971,579,401,0,0,0,list(),NA
"Q00770482-I1",2022-07-07 12:00:00,2023-07-07 04:00:00,"97-48 64 AVENUE","QUEENS",26,4050472,2091,406,0,0,0,list(),NA
"B00733901-I1",2022-05-11 12:00:00,2023-05-11 04:00:00,"101 FLEET PLACE","BROOKLYN",100,3058258,2061,302,0,0,0,list(),NA
"M00738083-I1",2022-05-18 12:00:00,2023-05-18 04:00:00,"1485 2 AVENUE","MANHATTAN",21,1085189,1432,108,0,0,0,list(),NA
"B00489085-I1",2021-05-04 12:00:00,2022-03-08 05:00:00,"675 EAST   32 STREET","BROOKLYN",11,3114024,5007,317,0,0,0,list(),NA
"X00782606-I1",2023-07-05 12:00:00,2023-11-15 12:00:00,"2736 CRESTON AVENUE","BRONX",19,2130567,3315,207,0,0,0,list(),NA
"B00671245-I1",2023-02-10 12:00:00,2024-02-10 05:00:00,"825 GATES AVENUE","BROOKLYN",50,3044501,1630,303,0,0,0,list(),NA
"M00674397-I1",2022-02-11 12:00:00,2023-02-11 05:00:00,"14 WEST   45 STREET","MANHATTAN",47,1034231,1260,105,0,0,0,list(),NA
"B00637600-I1",2022-07-15 12:00:00,2023-06-09 04:00:00,"25 STEWART AVENUE","BROOKLYN",75,3070624,2994,301,0,0,0,list(),NA
"M00716346-I1",2022-04-15 12:00:00,2023-04-15 04:00:00,"1487 1 AVENUE","MANHATTAN",27,1045212,1452,108,0,0,0,list(),NA
"M00705472-I1",2022-04-01 12:00:00,2023-04-01 04:00:00,"10 WEST   47 STREET","MANHATTAN",45,1034340,1262,105,0,0,0,list(),NA
"M00714211-I1",2023-04-03 12:00:00,2024-04-03 04:00:00,"168 WEST  225 STREET","MANHATTAN",66,1064529,2215,208,0,0,0,list(),NA
"B00718593-I1",2022-04-14 12:00:00,2023-04-14 04:00:00,"100 FLATBUSH AVENUE","BROOKLYN",23,3000603,174,302,0,0,0,list(),NA
"M00727205-I1",2023-04-07 12:00:00,2023-12-31 05:00:00,"1393 YORK AVENUE","MANHATTAN",21,1045900,1469,108,0,0,0,list(),NA
"Q00715041-I1",2022-04-11 12:00:00,2023-04-11 04:00:00,"1607 VILLAGE LANE","QUEENS",112,4624527,15537,414,0,0,0,list(),NA
"Q00717420-I1",2022-04-25 12:00:00,2023-04-25 04:00:00,"46-24 76 STREET","QUEENS",1,4624030,1529,404,0,0,0,list(),NA
"X00445891-I1",2021-07-08 12:00:00,2022-04-01 04:00:00,"715 EAST  212 STREET","BRONX",88,2057689,4657,212,0,0,0,list(),NA
"M00571836-I1",2022-09-27 12:00:00,2022-12-13 12:00:00,"415 MADISON AVENUE","MANHATTAN",21,1035439,1284,105,0,0,0,list(),NA
"M07999273-I1",2022-11-04 12:00:00,2023-11-04 04:00:00,"16 5 AVENUE","MANHATTAN",41,1009430,572,102,0,0,0,list(),NA
"B08022304-I1",2022-10-19 12:00:00,2023-10-19 04:00:00,"89 THROOP AVENUE","BROOKLYN",33,3061484,2273,301,0,0,0,list(),NA
"X00475503-I1",2021-02-25 12:00:00,2022-02-25 05:00:00,"1245 EDWARD L GRANT HIGHWAY","BRONX",54,2092382,2506,204,0,0,0,list(),NA
"M08011243-I1",2022-09-28 12:00:00,2023-04-20 04:00:00,"525 6 AVENUE","MANHATTAN",39,1010647,609,102,0,0,0,list(),NA
"B08028758-I1",2022-11-09 12:00:00,2023-11-09 05:00:00,"212 SKILLMAN STREET","BROOKLYN",49,3055213,1927,303,0,0,0,list(),NA
"B00746059-I1",2022-06-30 12:00:00,2023-01-01 12:00:00,"2 FOUNTAIN AVENUE","BROOKLYN",28,3327247,4154,305,0,0,0,list(),NA
"B00655525-I1",2022-01-04 12:00:00,2023-01-04 05:00:00,"35 KINGSTON AVENUE","BROOKLYN",6,3054032,1871,303,0,0,0,list(),NA
"Q00728518-I1",2023-05-11 12:00:00,2024-05-11 04:00:00,"26-06 JACKSON AVENUE","QUEENS",11,4003506,268,402,0,0,0,list(),NA
"Q08028108-I1",2022-10-27 12:00:00,2023-10-27 04:00:00,"78-29 AUSTIN STREET","QUEENS",1,4624331,3345,406,0,0,0,list(),NA
"Q00649786-I1",2021-12-17 12:00:00,2022-12-17 05:00:00,"57-14 B GRANGER STREET","QUEENS",42,4619478,1950,404,0,0,0,list(),NA
"X00578864-I1",2022-03-14 12:00:00,2023-03-14 04:00:00,"2347 MORRIS AVENUE","BRONX",26,2130559,3183,205,0,0,0,list(),NA
"B08011817-I1",2022-10-01 12:00:00,2023-10-01 04:00:00,"688 6 AVENUE","BROOKLYN",35,3017526,897,307,0,0,0,list(),NA
"B00695657-I1",2023-02-08 12:00:00,2024-02-08 05:00:00,"41 SUMMIT STREET","BROOKLYN",60,3004855,352,306,0,0,0,list(),NA
"M00491835-I1",2022-12-20 12:00:00,2023-09-30 12:00:00,"1568 AIR BROADWAY","MANHATTAN",9062,1085494,999,105,0,0,0,list(),NA
"Q00680241-I1",2023-01-17 12:00:00,2024-01-17 05:00:00,"81-42 UTOPIA PARKWAY","QUEENS",1,4595651,7021,408,0,0,0,list(),NA
"M08001443-I1",2022-09-14 12:00:00,2023-09-14 04:00:00,"24 EAST  103 STREET","MANHATTAN",57,1051495,1608,111,0,0,0,list(),NA
"X00578025-I1",2023-04-01 12:00:00,2024-04-01 04:00:00,"250 EAST TREMONT AVENUE","BRONX",31,2117776,2804,205,0,0,0,list(),NA
"B00667413-I1",2022-02-04 12:00:00,2022-10-06 04:00:00,"621 ROGERS AVENUE","BROOKLYN",5,3115871,5050,309,0,0,0,list(),NA
"X00666323-I1",2022-01-21 12:00:00,2022-05-01 04:00:00,"586 GERARD AVENUE","BRONX",1,2130773,2353,204,0,0,0,list(),NA
"M00558615-I1",2021-07-20 12:00:00,2022-07-20 04:00:00,"123 WEST   57 STREET","MANHATTAN",15,1023724,1010,105,0,0,0,list(),NA
"B00696245-I1",2023-03-10 12:00:00,2023-11-06 12:00:00,"65 DUPONT STREET","BROOKLYN",17,3429227,2487,301,0,0,0,list(),NA
"Q00445838-I1",2021-01-07 12:00:00,2021-08-15 04:00:00,"98-60 QUEENS BOULEVARD","QUEENS",34,4072163,3086,406,0,0,0,list(),NA
"M00674387-I1",2023-01-31 12:00:00,2024-01-31 05:00:00,"8 WEST   45 STREET","MANHATTAN",45,1034229,1260,105,0,0,0,list(),NA
"M08001459-I1",2022-09-19 12:00:00,2023-09-19 04:00:00,"1514 MADISON AVENUE","MANHATTAN",56,1051494,1608,111,0,0,0,list(),NA
"Q00785441-I1",2023-08-24 12:00:00,2024-08-24 04:00:00,"98-10 63 ROAD","QUEENS",5,4619563,2098,406,0,0,0,list(),NA
"B00738520-I1",2023-05-18 12:00:00,2024-05-03 04:00:00,"2249 NOSTRAND AVENUE","BROOKLYN",12,3429623,7576,314,0,0,0,list(),NA
"B00497658-I1",2021-04-06 12:00:00,2022-04-06 04:00:00,"55 SUMMIT STREET","BROOKLYN",150,3428631,352,306,0,0,0,list(),NA
"M00674394-I1",2022-02-11 12:00:00,2023-02-11 05:00:00,"12 WEST   45 STREET","MANHATTAN",46,1034230,1260,105,0,0,0,list(),NA
"B08030392-I1",2023-09-05 12:00:00,2024-09-05 04:00:00,"108 SAINT EDWARDS STREET","BROOKLYN",135,3058035,2034,302,0,0,0,list(),NA
"B00616708-I1",2021-11-10 12:00:00,2022-11-10 05:00:00,"100 16 STREET","BROOKLYN",30,3426826,1051,307,0,0,0,list(),NA
"Q00752940-I1",2022-11-09 12:00:00,2023-11-09 05:00:00,"163-13 BAISLEY BOULEVARD","QUEENS",11,4268326,12380,412,0,0,0,list(),NA
"X00453352-I1",2022-05-24 12:00:00,2023-02-06 12:00:00,"1420 PELHAM PARKWAY SOUTH","BRONX",1,2826699,4205,211,0,0,0,list(),NA
"Q00648185-I1",2021-12-15 12:00:00,2022-12-15 05:00:00,"32-05 GREENPOINT AVENUE","QUEENS",25,4003633,304,402,0,0,0,list(),NA
"Q00681545-I1",2023-07-19 12:00:00,2024-07-19 04:00:00,"35-15 146 STREET","QUEENS",8,4113205,5004,407,0,0,0,list(),NA
"X00669246-I1",2022-01-27 12:00:00,2023-01-27 05:00:00,"1822 MOHEGAN AVENUE","BRONX",38,2812137,2958,206,0,0,0,list(),NA
"X00650395-I1",2022-01-25 12:00:00,2023-01-25 05:00:00,"1015 EAST GUN HILL ROAD","BRONX",33,2097393,4693,212,0,0,0,list(),NA
"Q00740395-I1",2022-05-19 12:00:00,2023-05-19 04:00:00,"42-10 147 STREET","QUEENS",50,4121270,5374,407,0,0,0,list(),NA
"B00730580-I1",2022-05-09 12:00:00,2023-05-09 04:00:00,"1615 CEDAR STREET","BROOKLYN",14,3429489,6745,314,0,0,0,list(),NA
"Q00758537-I1",2022-06-23 12:00:00,2023-06-23 04:00:00,"138-25 BARCLAY AVENUE","QUEENS",74,4114292,5044,407,0,0,0,list(),NA
"M00706883-I1",2022-03-28 12:00:00,2022-06-18 04:00:00,"1393 YORK AVENUE","MANHATTAN",21,1045900,1469,108,0,0,0,list(),NA
"M01033663-I1",2024-04-19 12:00:00,2024-09-30 12:00:00,"1345 3 AVENUE","MANHATTAN",46,1044092,1431,108,0,0,0,list(),NA
"X00653993-I1",2022-01-04 12:00:00,2023-01-04 05:00:00,"1591 JESUP AVENUE","BRONX",245,2811224,2872,205,0,0,0,list(),NA
"Q00626218-I1",2022-02-22 12:00:00,2023-02-11 05:00:00,"33-41 97 STREET","QUEENS",47,4623656,1712,403,0,0,0,list(),NA
"X00646049-I1",2021-12-13 12:00:00,2022-12-13 05:00:00,"219 FORDHAM STREET","BRONX",258,2082683,5644,210,0,0,0,list(),NA
"X00562556-I1",2021-08-03 12:00:00,2022-08-03 04:00:00,"1281 HOE AVENUE","BRONX",56,2010567,2980,203,0,0,0,list(),NA
"B00793262-I1",2022-08-17 12:00:00,2023-08-17 04:00:00,"2136 BEDFORD AVENUE","BROOKLYN",48,3429232,5086,314,0,0,0,list(),NA
"M00518876-I1",2021-05-11 12:00:00,2022-01-01 05:00:00,"2226 3 AVENUE","MANHATTAN",36,1074331,1770,111,0,0,0,list(),NA
"B00688322-I1",2022-03-02 12:00:00,2023-03-02 05:00:00,"142 HURON STREET","BROOKLYN",31,3428967,2532,301,0,0,0,list(),NA
"B00611017-I1",2021-10-19 12:00:00,2022-10-19 04:00:00,"312 CONEY ISLAND AVENUE","BROOKLYN",20,3124076,5322,307,0,0,0,list(),NA
"M00723487-I1",2022-05-06 12:00:00,2023-05-06 04:00:00,"231 BOWERY","MANHATTAN",12,1005708,426,103,0,0,0,list(),NA
"B00735566-I1",2023-03-17 12:00:00,2023-12-21 12:00:00,"196 16 STREET","BROOKLYN",25,3024182,1053,307,0,0,0,list(),NA
"X00671312-I1",2022-02-02 12:00:00,2023-02-02 05:00:00,"383 EAST  201 STREET","BRONX",75,2016464,3281,207,0,0,0,list(),NA
"M08022603-I1",2022-10-19 12:00:00,2023-10-19 04:00:00,"200 PARK AVENUE","MANHATTAN",9010,1085735,1280,105,0,0,0,list(),NA
"M00518565-I1",2021-06-16 12:00:00,2022-06-16 04:00:00,"123 WEST   57 STREET","MANHATTAN",15,1023724,1010,105,0,0,0,list(),NA
"Q00622814-I1",2022-01-21 12:00:00,2023-01-21 05:00:00,"52-35 74 STREET","QUEENS",141,4624506,2492,405,0,0,0,list(),NA
"M00626294-I1",2023-01-05 12:00:00,2024-01-05 05:00:00,"1140 2 AVENUE","MANHATTAN",1,1081227,1435,108,0,0,0,list(),NA
"B08028228-I1",2022-11-08 12:00:00,2023-11-08 05:00:00,"159 BOERUM STREET","BROOKLYN",40,3425699,3071,301,0,0,0,list(),NA
"B00523648-I1",2021-05-21 12:00:00,2022-05-21 04:00:00,"20 MONITOR STREET","BROOKLYN",33,3428821,2833,301,0,0,0,list(),NA
"X00445925-I1",2021-02-11 12:00:00,2021-11-06 12:00:00,"1827 WATERLOO PLACE","BRONX",54,2010123,2958,206,0,0,0,list(),NA
"Q00534543-I1",2021-06-17 12:00:00,2022-03-31 12:00:00,"2-14 54 AVENUE","QUEENS",1,4436569,11,402,0,0,0,list(),NA
"B00724408-I1",2023-06-08 12:00:00,2024-06-08 04:00:00,"489 STATE STREET","BROOKLYN",13,3827686,174,302,0,0,0,list(),NA
"Q00770091-I1",2022-07-13 12:00:00,2023-07-13 04:00:00,"104-20 125 STREET","QUEENS",17,4204522,9578,410,0,0,0,list(),NA
"Q00450561-I1",2021-01-27 12:00:00,2022-01-27 05:00:00,"36-31 31 STREET","QUEENS",14,4623114,600,401,0,0,0,list(),NA
"B00652857-I1",2021-12-27 12:00:00,2022-12-27 05:00:00,"568 GRAND STREET","BROOKLYN",28,3069510,2785,301,0,0,0,list(),NA
"M08032734-I1",2022-12-01 12:00:00,2023-12-01 05:00:00,"645 EAST    9 STREET","MANHATTAN",40,1813272,392,103,0,0,0,list(),NA
"X00747962-I1",2022-05-31 12:00:00,2023-05-03 04:00:00,"959 ANDERSON AVENUE","BRONX",32,2003125,2507,204,0,0,0,list(),NA
"X00487108-I1",2021-03-19 12:00:00,2022-03-19 04:00:00,"747 ROSEDALE AVENUE","BRONX",43,2022007,3594,209,0,0,0,list(),NA
"M00738147-I1",2022-05-18 12:00:00,2023-05-18 04:00:00,"1487 2 AVENUE","MANHATTAN",21,1085190,1432,108,0,0,0,list(),NA
"X00661827-I1",2022-01-13 12:00:00,2023-01-13 05:00:00,"2702 CRESTON AVENUE","BRONX",32,2017421,3314,207,0,0,0,list(),NA
"Q00479276-I1",2021-03-03 12:00:00,2021-07-07 12:00:00,"141-57 NORTHERN BOULEVARD","QUEENS",74,4113179,5002,407,0,0,0,list(),NA
"M00692507-I1",2022-03-14 12:00:00,2023-02-28 12:00:00,"1514 MADISON AVENUE","MANHATTAN",56,1051494,1608,111,0,0,0,list(),NA
"Q00635017-I1",2021-11-24 12:00:00,2022-11-24 05:00:00,"150-01 89 AVENUE","QUEENS",14,4440319,9695,412,0,0,0,list(),NA
"X00527703-I1",2021-06-04 12:00:00,2022-06-04 04:00:00,"193 EAST  205 STREET","BRONX",51,2017385,3312,207,0,0,0,list(),NA
"M00746060-I1",2022-05-28 12:00:00,2023-01-01 12:00:00,"1643 1 AVENUE","MANHATTAN",23,1050001,1548,108,0,0,0,list(),NA
"B00571399-I1",2022-07-29 12:00:00,2023-05-27 04:00:00,"283 WARWICK STREET","BROOKLYN",10,3429006,3967,305,0,0,0,list(),NA
"B00688961-I1",2022-03-02 12:00:00,2023-03-02 05:00:00,"1251 60 STREET","BROOKLYN",56,3141052,5711,312,0,0,0,list(),NA
"Q00554388-I1",2021-07-09 12:00:00,2022-03-31 12:00:00,"43-27 BYRD STREET","QUEENS",36,4116391,5141,407,0,0,0,list(),NA
"Q00449586-I1",2021-01-08 12:00:00,2022-01-08 05:00:00,"41-14 31 AVENUE","QUEENS",43,4011195,679,401,0,0,0,list(),NA
"Q00786077-I1",2023-07-31 12:00:00,2024-07-31 04:00:00,"28-16 42 ROAD","QUEENS",3,4623504,432,402,0,0,0,list(),NA
"Q00676998-I1",2022-02-09 12:00:00,2023-02-09 05:00:00,"43-21 52 STREET","QUEENS",12,4030864,1321,402,0,0,0,list(),NA
"Q00456928-I1",2021-01-21 12:00:00,2021-02-21 12:00:00,"130-10 LIBERTY AVENUE","QUEENS",4,4204962,9590,410,0,0,0,list(),NA
"B00580864-I1",2021-10-13 12:00:00,2022-10-13 04:00:00,"202 TILLARY STREET","BROOKLYN",100,3058215,2050,302,0,0,0,list(),NA
"M00722082-I1",2023-06-01 12:00:00,2024-03-31 12:00:00,"251 EAST   77 STREET","MANHATTAN",21,1044130,1432,108,0,0,0,list(),NA
"X00751051-I1",2022-06-08 12:00:00,2023-06-08 04:00:00,"3184 WEBSTER AVENUE","BRONX",55,2817587,3357,207,0,0,0,list(),NA
"Q08008633-I1",2022-09-24 12:00:00,2023-09-24 04:00:00,"5123 BEACH CHANNEL DRIVE","QUEENS",15,4623356,15843,414,0,0,0,list(),NA
"Q00689992-I1",2023-03-11 12:00:00,2024-03-11 04:00:00,"37-27 12 STREET","QUEENS",9,4800517,362,401,0,0,0,list(),NA
"B00658443-I1",2022-01-11 12:00:00,2023-01-06 05:00:00,"844 BEDFORD AVENUE","BROOKLYN",47,3054768,1900,303,0,0,0,list(),NA
"X00661830-I1",2022-01-13 12:00:00,2023-01-13 05:00:00,"2704 CRESTON AVENUE","BRONX",33,2017422,3314,207,0,0,0,list(),NA
"Q00748081-I1",2022-06-01 12:00:00,2023-04-01 04:00:00,"36-08 24 AVENUE","QUEENS",14,4016142,817,401,0,0,0,list(),NA
"Q08025252-I1",2022-10-22 12:00:00,2023-10-22 04:00:00,"88-06 161 STREET","QUEENS",63,4623962,9764,412,0,0,0,list(),NA
"B00676155-I1",2023-03-10 12:00:00,2024-02-04 12:00:00,"31 BRIGHTON    2 PLACE","BROOKLYN",238,3428726,8662,313,0,0,0,list(),NA
"Q00467240-I1",2021-02-22 12:00:00,2022-02-22 05:00:00,"143-33 95 AVENUE","QUEENS",47,4213940,9992,412,0,0,0,list(),NA
"M00506766-I1",2022-06-10 12:00:00,2023-06-10 04:00:00,"760 MADISON AVENUE","MANHATTAN",17,1041127,1380,108,0,0,0,list(),NA
"B00516296-I1",2021-05-07 12:00:00,2022-05-07 04:00:00,"28 MIDDLETON STREET","BROOKLYN",3,3421377,2239,301,0,0,0,list(),NA
"X00796239-I1",2022-08-25 12:00:00,2023-08-25 04:00:00,"1258 SHAKESPEARE AVENUE","BRONX",82,2003086,2506,204,0,0,0,list(),NA
"M00746061-I1",2022-05-28 12:00:00,2023-01-01 12:00:00,"1647 1 AVENUE","MANHATTAN",23,1050022,1548,108,0,0,0,list(),NA
"X00661831-I1",2022-01-13 12:00:00,2023-01-13 05:00:00,"2710 CRESTON AVENUE","BRONX",35,2017423,3314,207,0,0,0,list(),NA
"B00555066-I1",2021-07-13 12:00:00,2022-07-13 04:00:00,"908 KENT AVENUE","BROOKLYN",31,3054930,1911,303,0,0,0,list(),NA
"M00581996-I1",2021-08-24 12:00:00,2021-09-10 04:00:00,"152 WEST  136 STREET","MANHATTAN",53,1813241,1920,110,0,0,0,list(),NA
"M00635501-I1",2022-11-21 12:00:00,2023-11-21 05:00:00,"250 WEST   49 STREET","MANHATTAN",59,1024785,1020,105,0,0,0,list(),NA
"X00698216-I1",2022-04-28 12:00:00,2022-05-13 04:00:00,"292 EAST  149 STREET","BRONX",17,2000891,2330,201,0,0,0,list(),NA
"X00707638-I1",2022-04-07 12:00:00,2023-04-07 04:00:00,"1940 TURNBULL AVENUE","BRONX",30,2130573,3672,209,0,0,0,list(),NA
"B00782154-I1",2022-10-27 12:00:00,2023-10-27 04:00:00,"432 THATFORD AVENUE","BROOKLYN",10,3082384,3603,316,0,0,0,list(),NA
"Q00602915-I1",2021-10-04 12:00:00,2022-10-04 04:00:00,"47-58 43 STREET","QUEENS",27,4623677,175,402,0,0,0,list(),NA
"X00742264-I1",2022-05-23 12:00:00,2023-05-23 04:00:00,"1366 CROMWELL AVENUE","BRONX",27,2008410,2864,204,0,0,0,list(),NA
"B00538388-I1",2021-06-13 12:00:00,2022-06-13 04:00:00,"2384 ATLANTIC AVENUE","BROOKLYN",1,3038665,1437,316,0,0,0,list(),NA
"X00650397-I1",2021-12-23 12:00:00,2022-12-23 05:00:00,"1001 GUN HILL ROAD","BRONX",33,2097392,4693,212,0,0,0,list(),NA
"M00746062-I1",2022-05-28 12:00:00,2023-01-01 12:00:00,"1649 1 AVENUE","MANHATTAN",23,1050003,1548,108,0,0,0,list(),NA
"Q00554371-I1",2021-07-09 12:00:00,2022-03-31 12:00:00,"43-25 BYRD STREET","QUEENS",36,4116392,5141,407,0,0,0,list(),NA
"X00636124-I1",2021-11-26 12:00:00,2022-11-05 11:00:00,"243 EAST  202 STREET","BRONX",104,2017265,3308,207,0,0,0,list(),NA
"X00625874-I1",2021-11-17 12:00:00,2022-11-17 05:00:00,"2712 WILLIAMSBRIDGE ROAD","BRONX",8,2053826,4516,211,0,0,0,list(),NA
"M00582012-I1",2021-08-25 12:00:00,2022-07-19 12:00:00,"405 PARK AVENUE","MANHATTAN",1,1036476,1309,105,0,0,0,list(),NA
"Q00551798-I1",2021-07-06 12:00:00,2022-07-06 04:00:00,"42-11 30 AVENUE","QUEENS",44,4441804,698,401,0,0,0,list(),NA
"M00607781-I1",2021-10-08 12:00:00,2022-04-01 12:00:00,"437 2 AVENUE","MANHATTAN",34,1019794,905,106,0,0,0,list(),NA
"X00741910-I1",2022-05-20 12:00:00,2023-05-20 04:00:00,"1665 JEROME AVENUE","BRONX",35,2833073,2861,205,0,0,0,list(),NA
"Q00609101-I1",2021-10-12 12:00:00,2021-10-12 12:00:00,"161-17 43 AVENUE","QUEENS",37,4623730,5392,407,0,0,0,list(),NA
"B00593046-I1",2021-09-16 12:00:00,2022-09-16 04:00:00,"375 SMITH STREET","BROOKLYN",63,3007866,460,306,0,0,0,list(),NA
"X00480089-I1",2021-03-09 12:00:00,2022-01-28 05:00:00,"1131 EAST  211 STREET","BRONX",16,2100025,4706,212,0,0,0,list(),NA
"M00701434-I1",2022-03-22 12:00:00,2023-03-22 04:00:00,"140 HILLSIDE AVENUE","MANHATTAN",41,1812187,2173,112,0,0,0,list(),NA
"B00665761-I1",2022-01-22 12:00:00,2023-01-06 05:00:00,"147 STANHOPE STREET","BROOKLYN",30,3074123,3256,304,0,0,0,list(),NA
"B00725730-I1",2022-04-28 12:00:00,2023-04-08 04:00:00,"140 CENTRAL AVENUE","BROOKLYN",38,3855993,3184,304,0,0,0,list(),NA
"X00985889-I1",2024-01-09 12:00:00,2025-01-09 05:00:00,"4641 FURMAN AVENUE","BRONX",1,2130442,5087,212,0,0,0,list(),NA
"M00528740-I1",2021-05-27 12:00:00,2022-05-27 04:00:00,"300 EAST   83 STREET","MANHATTAN",49,1049907,1545,108,0,0,0,list(),NA
"X00545607-I1",2022-08-10 12:00:00,2023-03-31 12:00:00,"71 WEST  205 STREET","BRONX",201,2130657,3251,207,0,0,0,list(),NA
"M00797863-I1",2022-09-13 12:00:00,2023-09-13 04:00:00,"66 WEST  119 STREET","MANHATTAN",62,1053215,1717,110,0,0,0,list(),NA
"B08025109-I1",2022-10-26 12:00:00,2023-10-26 04:00:00,"1222 PUTNAM AVENUE","BROOKLYN",16,3425685,3375,304,0,0,0,list(),NA
"X00675323-I1",2022-02-08 12:00:00,2023-02-08 05:00:00,"3831 CARPENTER AVENUE","BRONX",85,2057558,4653,212,0,0,0,list(),NA
"B00639172-I1",2021-12-03 12:00:00,2022-12-03 05:00:00,"38 SKILLMAN AVENUE","BROOKLYN",23,3068497,2751,301,0,0,0,list(),NA
"B00658502-I1",2022-01-11 12:00:00,2023-01-11 05:00:00,"817 45 STREET","BROOKLYN",70,3011464,742,312,0,0,0,list(),NA
"B00720844-I1",2022-06-13 12:00:00,2023-06-13 04:00:00,"276 BEDFORD AVENUE","BROOKLYN",20,3848649,2380,301,0,0,0,list(),NA
"Q00446678-I1",2021-01-08 12:00:00,2022-01-08 05:00:00,"20-22 COLLEGE POINT BOULEVARD","QUEENS",29,4099200,4164,407,0,0,0,list(),NA
"B00750557-I1",2022-06-06 12:00:00,2023-06-06 04:00:00,"1894 CONEY ISLAND AVENUE","BROOKLYN",28,3329179,6617,312,0,0,0,list(),NA
"B00662666-I1",2022-01-16 12:00:00,2022-11-05 11:00:00,"311 BERGEN STREET","BROOKLYN",48,3329453,198,302,0,0,0,list(),NA
"M00681558-I1",2022-02-24 12:00:00,2023-01-06 05:00:00,"181 EAST  109 STREET","MANHATTAN",33,1081428,1637,111,0,0,0,list(),NA
